Created as New Dataset, , 
nm, A, 
430.0, 0.1018, 
429.0, 0.1031, 
428.0, 0.1013, 
427.0, 0.0989, 
426.0, 0.0982, 
425.0, 0.0976, 
424.0, 0.0982, 
423.0, 0.0981, 
422.0, 0.0981, 
421.0, 0.0967, 
420.0, 0.0975, 
419.0, 0.0979, 
418.0, 0.0973, 
417.0, 0.0968, 
416.0, 0.0973, 
415.0, 0.0975, 
414.0, 0.0978, 
413.0, 0.0979, 
412.0, 0.0987, 
411.0, 0.0996, 
410.0, 0.1000, 
409.0, 0.1016, 
408.0, 0.1030, 
407.0, 0.1057, 
406.0, 0.1075, 
405.0, 0.1116, 
404.0, 0.1152, 
403.0, 0.1190, 
402.0, 0.1227, 
401.0, 0.1273, 
400.0, 0.1338, 
399.0, 0.1414, 
398.0, 0.1488, 
397.0, 0.1572, 
396.0, 0.1676, 
395.0, 0.1782, 
394.0, 0.1908, 
393.0, 0.2038, 
392.0, 0.2182, 
391.0, 0.2346, 
390.0, 0.2531, 
389.0, 0.2735, 
388.0, 0.2962, 
387.0, 0.3209, 
386.0, 0.3478, 
385.0, 0.3790, 
384.0, 0.4134, 
383.0, 0.4512, 
382.0, 0.4937, 
381.0, 0.5418, 
380.0, 0.5943, 
379.0, 0.6479, 
378.0, 0.7019, 
377.0, 0.7525, 
376.0, 0.7974, 
375.0, 0.8116, 
374.0, 0.7986, 
373.0, 0.7647, 
372.0, 0.7145, 
371.0, 0.6549, 
370.0, 0.5928, 
369.0, 0.5380, 
368.0, 0.4939, 
367.0, 0.4640, 
366.0, 0.4466, 
365.0, 0.4408, 
364.0, 0.4443, 
363.0, 0.4534, 
362.0, 0.4672, 
361.0, 0.4837, 
360.0, 0.5032, 
359.0, 0.5236, 
358.0, 0.5449, 
357.0, 0.5643, 
356.0, 0.5791, 
355.0, 0.5878, 
354.0, 0.5880, 
353.0, 0.5802, 
352.0, 0.5626, 
351.0, 0.5386, 
350.0, 0.5113, 
349.0, 0.4840, 
348.0, 0.4575, 
347.0, 0.4322, 
346.0, 0.4089, 
345.0, 0.3891, 
344.0, 0.3729, 
343.0, 0.3599, 
342.0, 0.3486, 
341.0, 0.3389, 
340.0, 0.3314, 
339.0, 0.3262, 
338.0, 0.3226, 
337.0, 0.3204, 
336.0, 0.3180, 
335.0, 0.3168, 
334.0, 0.3181, 
333.0, 0.3200, 
332.0, 0.3225, 
331.0, 0.3243, 
330.0, 0.3276, 
329.0, 0.3324, 
328.0, 0.3369, 
327.0, 0.3417, 
326.0, 0.3474, 
325.0, 0.3533, 
324.0, 0.3584, 
323.0, 0.3654, 
322.0, 0.3755, 
321.0, 0.3859, 
320.0, 0.3979, 
319.0, 0.4133, 
318.0, 0.4321, 
317.0, 0.4513, 
316.0, 0.4739, 
315.0, 0.4988, 
314.0, 0.5253, 
313.0, 0.5537, 
312.0, 0.5859, 
311.0, 0.6193, 
310.0, 0.6551, 
309.0, 0.6936, 
308.0, 0.7326, 
307.0, 0.7736, 
306.0, 0.8166, 
305.0, 0.8567, 
304.0, 0.8940, 
303.0, 0.9335, 
302.0, 0.9718, 
301.0, 1.0077, 
300.0, 1.0439, 
299.0, 1.0830, 
298.0, 1.1204, 
297.0, 1.1610, 
296.0, 1.2038, 
295.0, 1.2445, 
294.0, 1.2839, 
293.0, 1.3147, 
292.0, 1.3395, 
291.0, 1.3614, 
290.0, 1.3769, 
289.0, 1.3845, 
288.0, 1.3856, 
287.0, 1.3805, 
286.0, 1.3717, 
285.0, 1.3622, 
284.0, 1.3548, 
283.0, 1.3430, 
282.0, 1.3352, 
281.0, 1.3303, 
280.0, 1.3268, 
279.0, 1.3276, 
278.0, 1.3286, 
277.0, 1.3158, 
276.0, 1.2962, 
275.0, 1.2752, 
274.0, 1.2586, 
273.0, 1.2455, 
272.0, 1.2368, 
271.0, 1.2345, 
270.0, 1.2300, 
269.0, 1.2207, 
268.0, 1.2137, 
267.0, 1.2086, 
266.0, 1.2124, 
265.0, 1.2230, 
264.0, 1.2364, 
263.0, 1.2514, 
262.0, 1.2698, 
261.0, 1.2860, 
260.0, 1.3085, 
259.0, 1.3335, 
258.0, 1.3632, 
257.0, 1.3938, 
256.0, 1.4217, 
255.0, 1.4509, 
254.0, 1.4907, 
253.0, 1.5269, 
252.0, 1.5521, 
251.0, 1.5816, 
250.0, 1.6117 
